feature,layer
age,clinical
sex,clinical
disease_subtype_code,clinical
therapy_modality_code,clinical
performance_status,clinical
prior_lines,clinical
tumor_burden,clinical
ferritin,clinical
CRP,clinical
LDH,clinical
platelets,clinical
hemoglobin,clinical
WBC,clinical
albumin,clinical
neutrophils,clinical
lymphocytes,clinical
CD8_T_cells,clinical
baseline_risk,clinical
IL-6,cytokine
cytokine_02,cytokine
cytokine_03,cytokine
cytokine_04,cytokine
cytokine_05,cytokine
cytokine_06,cytokine
cytokine_07,cytokine
cytokine_08,cytokine
cytokine_09,cytokine
cytokine_10,cytokine
cytokine_11,cytokine
cytokine_12,cytokine
cytokine_13,cytokine
cytokine_14,cytokine
cytokine_15,cytokine
cytokine_16,cytokine
cytokine_17,cytokine
cytokine_18,cytokine
cytokine_19,cytokine
cytokine_20,cytokine
gene_risk_score,genomic
gene_02,genomic
gene_03,genomic
gene_04,genomic
gene_05,genomic
gene_06,genomic
gene_07,genomic
gene_08,genomic
gene_09,genomic
gene_10,genomic
gene_11,genomic
gene_12,genomic
gene_13,genomic
gene_14,genomic
gene_15,genomic
gene_16,genomic
gene_17,genomic
gene_18,genomic
gene_19,genomic
gene_20,genomic
transcript_001,transcriptomic
transcript_002,transcriptomic
transcript_003,transcriptomic
transcript_004,transcriptomic
transcript_005,transcriptomic
transcript_006,transcriptomic
transcript_007,transcriptomic
transcript_008,transcriptomic
transcript_009,transcriptomic
transcript_010,transcriptomic
transcript_011,transcriptomic
transcript_012,transcriptomic
transcript_013,transcriptomic
transcript_014,transcriptomic
transcript_015,transcriptomic
transcript_016,transcriptomic
transcript_017,transcriptomic
transcript_018,transcriptomic
transcript_019,transcriptomic
transcript_020,transcriptomic
transcript_021,transcriptomic
transcript_022,transcriptomic
transcript_023,transcriptomic
transcript_024,transcriptomic
transcript_025,transcriptomic
protein_001,proteomic
protein_002,proteomic
protein_003,proteomic
protein_004,proteomic
protein_005,proteomic
protein_006,proteomic
protein_007,proteomic
protein_008,proteomic
protein_009,proteomic
protein_010,proteomic
protein_011,proteomic
protein_012,proteomic
protein_013,proteomic
protein_014,proteomic
protein_015,proteomic
protein_016,proteomic
protein_017,proteomic
protein_018,proteomic
protein_019,proteomic
protein_020,proteomic
protein_021,proteomic
protein_022,proteomic
protein_023,proteomic
protein_024,proteomic
protein_025,proteomic
metabolomic_risk_score,metabolomic
metabolite_02,metabolomic
metabolite_03,metabolomic
metabolite_04,metabolomic
metabolite_05,metabolomic
metabolite_06,metabolomic
metabolite_07,metabolomic
metabolite_08,metabolomic
metabolite_09,metabolomic
metabolite_10,metabolomic
metabolite_11,metabolomic
metabolite_12,metabolomic
metabolite_13,metabolomic
metabolite_14,metabolomic
metabolite_15,metabolomic
metabolite_16,metabolomic
metabolite_17,metabolomic
metabolite_18,metabolomic
metabolite_19,metabolomic
metabolite_20,metabolomic
metabolite_21,metabolomic
metabolite_22,metabolomic
metabolite_23,metabolomic
metabolite_24,metabolomic
metabolite_25,metabolomic
metabolite_26,metabolomic
metabolite_27,metabolomic
metabolite_28,metabolomic
metabolite_29,metabolomic
metabolite_30,metabolomic
